A	এ
AUSTRIAN	অস্ট্রিয়ান
AUSTRO	অস্ট্রো
AUTOM	অটম
AUTOMOTIVE	অটোমোটিভ
AUVANESWAREM	ঔভেনস্বরম
AUWA	ঔয়া
AUYUITTUQ	আউইত্তুক
AVAYA	অভয়
AVE	অ্যাভ
AVENTIS	অ্যাভেন্টিস
AVENUE	এভিনিউ
AVEROFF	অভেরফ
AVESTHAGEN	অ্যাভেস্থাজেন
AVINANDAN	অভিনন্দন
AVIV	আভিভ
AVIVA	অ্যাভিভা
AVIZ	আভিজ
AWARD	এয়ার্ড
AWARDS	এওয়ার্ড
AXA	অ্যাক্স
AXCAN	অ্যাক্সকান
AXLE	অ্যাক্সলে
AYACHIT	আয়াচিত
AYASHABEGAM	আযেশাবেগম
AYATOLLAH	আয়াতোলাহ
AYODHYA	অযোধ্যা
AYUB	আয়ুব
AYUBHOSEN	আযুবহোসেন
AYUBRAHAMAN	আযুবরহমান
AYYAR	আইয়ার
AZAD	আজাদ
AZADPUR	আজাদপুর
AZAM	আজাম
AZEEM	আজেম
AZEEMUL	আজমুল
AZHARUDDIN	আজারউদ্দিন
AZIJUL	আজিজুল
AZIZ	আজিজ
AZMAT	আজমাত
AZMIR	আজমীর
AZOV	অজোভ
AZTEC	আজটে
AZU	আজু
B	ব্যাঙ্ক
BAAL	বাল
BAALDE	বলদে
BABA	বাবা
BABAI	বাবাই
BABAJI	বাবাজী
BABAR	বাবর
BABARALI	বাবরআলি
BABBAN	বাব্বান
BABEL	বাবেল
BABHNAN	ব্যাবন্যান
BABI	বাবি
BABITA	ববিতা
BABLA	বাবলা
BABLI	বাবলি
BABLU	বাবলু
BABRAALI	বাবরালি
BABRALA	বাব্রেলা
BABU	বাবু
BABUGARH	বাবুগড়
BABUI	বাবুই
BABUJAN	বাবুজান
BABUJI	বাবুজী
BABUL	বাবুল
BABULCHANDRA	বাবুলচন্দ্র
BABUN	বাবুন
BABUNATH	বাবুনাথ
BABUPETH	বাবুপেট
BABUR	বাবুর
BABURAALI	বাবুরালি
BABURALI	বাবুরআলি
BABURAM	বাবুরাম
BABUSING	বাবুসিং
BABUSWAR	বাবুশ্বর
BABY	বেবি
BACARDI	বাকার্ডি
BACCHUS	বাচুস
BACHALAL	বাচালাল
BACHAN	বাছন
BACHASPATI	বাচস্পতি
BACHCHA	বাচ্চা
BACHCHAN	বচ্চন
BACHCHI	বাচ্চি
BACHCHU	বাচ্চু
BACHER	বুচার
BACHI	বাচি
BACHU	বাছু
BACKBONE	ব্যাকবোন
BADAGARA	বাদাগারা
BADAKHSHI	বাদাক্সি
BADALBALA	বাদলবালা
BADALCHANDRA	বাদলচন্দ্র
BADALDASI	বাদলদাসী
BADALKUMAR	বাদলকুমার
BADALRANI	বাদলরানী
BADAM	বাদাম
BADAMI	বাদামি
BADAMPAHAR	বাদামপাহাড়
BADAN	বদন
BADANBALA	বদনবালা
BADANCHANDRA	বদনচন্দ্র
BADANI	বাদানি
BADARALI	বদরআলী
BADARPUR	বাদারপুর
BADAUSA	বাদাউসা
BADAWI	বাদাতী
BADDHNI	বাদ্ধনি
BADDINATH	বদ্দিনাথ
BADDOWAL	বাদ্দোওয়াল
BADE	বড়ে
BADEL	বাদেল
BADESHA	বাদশা
BADI	বাদি
BADILAL	বদিলাল
BADINATH	বদিনাথ
BADIRUN	বদিরুন
BADLA	বাদলা
BADLI	বাদলি
BADNAPUR	বাদনাপুর
BADNERA	বাদনেরা
BADRUN	বদরুন
BADSHA	বাদশা
BADSHAHNAGAR	বাদশাহনগর
BADSHAHPUR	বাদশাহপুর
BADULI	বাদুলি
BADWAL	বাদওয়াল
BADWASI	বাদওয়াসি
BADYAL	বাদয়াল
BAE	বোয়ে
BAER	বিয়ার
BAFFIN	বাফিন
BAGAHA	বাহাগা
BAGALKOT	বাঘালকোট
BAGAMBAR	বাগাম্বর
BAGHA	বাঘা
BAGHORA	বাগহোরা
BAGLAMA	বাগ্লামা
BAGRAI	বাগরাই
BAGRI	বাগরি
BAGWALI	বাগওালি
BAHADURPUR	বাহাদুরপুর
BAHARA	বাহারা
BAHARAALI	বাহারআলি
BAHIA	বাহিয়া
BAHILPURWA	বাহিলপুরয়া
BAHJOI	বাহজয়
BAHRAICH	বাহারাইচ
BAHRAIN	বাহরেন
BAIDANATH	বৈদনাথ
BAIDUL	বাইদুল
BAIDYANATHDHAM	বৈদ্যনাথধাম
BAIJANATH	বৈজনাথ
BAIJANTI	বৈজন্তী
BAIJUL	বাইজুল
BAIJUNATH	বৈজুনাথ
BAIKUNTHA	বৈকুণ্ঠ
BAILEY	বেলি
BAINCHI	বৈঁচি
BAION	বাইওন
BAIRAGI	বৈরাগী
BAIRAGNIA	বৈরাগনিয়া
BAIRSTOW	ব্রিসটো
BAISHAKHI	বৈশাখি
BAISHALI	বৈশালী
BAISYA	বাইসিয়া
BAITALPUR	বৈতালপুর
BAITARANI	বৈতরণী
BAITUL	বৈতুল
BAIYOKE	বাইওক
BAIZA	বাইজা
BAJA	বাজা
BAJAN	বাজন
BAJARI	বাজারী
BAJI	বাজি
BAJRUL	বজরুল
BAJRULHAK	বজরুলহক
BAJVA	বাজভা
BAKAALKAR	বাকালকার
BAKARE	বাকারে
BAKELAL	বাকেলাল
BAKER	বাকের
BAKHERA	বাখেরা
BAKHERUN	বাখেরুন
BAKHSHI	বখষী
BAKHT	ভক্ত
BAKHTIAR	বক্তিয়ার
BAKHTIYARPUR	বকতিয়ারপুর
BAKIR	বাকির
BAKIRHOSSAIN	বাকিরহোসেন
BAKKAI	বিক্কাই
BAKKAR	বাক্কার
BAKRA	বাকরা
BAKSI	বক্সী
BAKTAR	বক্তার
BAKUL	বকুল
BAKULA	বকুলা
BAKULCHANDRA	বকুলচন্দ্র
BAKULI	বকুলী
BAL	বাল
BALAFON	বালাফোন
BALAGHAT	বালাগহাট
BALAHARI	বলহরি
BALAI	বলাই
BALAICHAD	বলাইচাদ
BALAILAL	বলাইলাল
BALALAIKA	বালালাইকা
BALAMU	বালামু
BALANCE	ব্যালেন্স
BALANGIR	বালানগির
BALASORE	বালাসোর
BALAUDA	বালাওদা
BALAWALA	বালাওয়ালা
BALAWALI	বালাওলি
BALBAHADUR	বলবাহাদুর
BALBANT	বলবন্ত
BALBINDAR	বলবিন্দর
BALBIR	বলবীর
BALBOA	বাল্বাও
BALCHAND	বালচাঁদ
BALDEB	বলদেব
BALDEO	বলদেও
BALESWARI	বালেশ্বরী
BALHARSHAH	বালহারশাহ
BALHI	বালহী
BALIA	বালিয়া
BALIKA	বালিকা
BALIL	বালিল
BALIMELA	বালিমেলা
BALIPARA	বালিপারা
BALJIT	বলজিত্
BALKHAM	বালকাম
BALKHASH	বাল্কহাস
BALKRISHNA	বালকৃষ্ণ
BALL	বল
BALLABGARH	বল্লবগড়
BALLABH	বল্লভ
BALLABHA	বল্লভা
BALLAL	বেল্লাল
BALLI	বাল্লি
BALLIA	বাল্লিয়া
BALMER	বালমের
BALMIKI	বাল্মিকী
BALMUKUND	বালমুকুন্দ
BALOD	বালোদ
BALOTRA	বালোট্রা
BALRAMPUR	বলরামপুর
BALSAMAND	বলসামন্দ
BALTIC	বাল্টিক
BALURAN	বালুরান
BALWARA	বালওয়ারা
BALWINDER	বালউইনদার
BALZAN	বালজান
BAMACHARAN	বামাচরন
BAMAKO	বামাকো
BAMANDAS	বামনদাস
BAMANHERI	বামানহেরি
BAMAPADA	বামাপদ
BAMAPRASAD	বামাপ্রসাদ
BAMBA	বাম্বা
BAMBUCA	বাম্বুকা
BAMCHARAN	বামচরন
BAMDEB	বামদেব
BAMHANI	বামহানি
BAMHRAULI	বামহরাওলি
BAMLA	বামলা
BAMNIA	বামনিয়া
BAMORI	বামোরি
BAMRA	বামরা
BANA	বানা
BANAHI	বানাহি
BANAI	বানাই
BANALATA	বনলতা
BANAMALI	বনমালি
BANANI	বনানী
BANAPHUL	বনফুল
BANAPURA	বানাপুরা
BANARHAT	বনারহাট
BANAS	বানাস
BANASHRI	বনশ্রী
BANASKANTHA	বানাসকান্থা
BANBALA	বনবালা
BANBASA	বানবাসা
BANBHATTA	বানভট্ট
BANBIHARI	বনবিহারী
BANCA	বানকা
BANCARELLA	বাঙ্কারেলা
BANCHA	বাঞ্ছা
BANCO	বানকো
BANDAN	বন্দন
BANDANARANI	বন্দনারাণী
BANDANWARA	বানদানওয়ারা
BANDARA	ভান্ডারা
BANDARATILLEKE	ভান্ডারাতিলক
BANDEKAR	বান্দেকর
BANDEL	ব্যান্ডেল
BANDERA	বান্দ্রেরা
BANDHAN	বন্ধন
BANDHU	বন্ধু
BANDIKUI	বাঁনডিকুই
BANDIPUR	বন্দিপুর
BANDITA	বন্দিতা
BANDOLA	বান্ডোলা
BANDONEON	বান্ডোনেওন
BANDOPADYAY	বন্দ্যোপাধ্যায়
BANDUGAR	বানদুগর
BANDURA	বান্ডুরা
BANDURRIA	বান্ডুরিয়া
BANERA	বানেরা
BANESHWAR	বানেশ্বর
BANESWAR	বানেশ্বরী
BANFF	বানফ
BANG	বাঁঙ
BANGA	বানগা
BANGALATA	বঙ্গলতা
BANGALI	বাঙ্গালী
BANGALORE	বাঙ্গালোর
BANGAR	বাঞ্জার
BANGI	বাঙ্গী
BANGKOK	ব্যাংকক
BANGLA	বাঙ্গলা
BANGLI	বাঙালী
BANGROD	ব্যাঙ্গরড
BANGSAR	বাঙ্গসার
BANI	বনি
BANIBALA	বনিবালা
BANIBRATA	বানীব্রত
BANIJAN	বনিজান
BANIPAD	বানীপদ
BANIPRASAD	বানীপ্রসাদ
BANIRAM	বনিরাম
BANIRANI	বানীরানী
BANIYA	বানিয়া
BANK	ব্যাঙ্ক
BANKA	বাঙ্কা
BANKIMCHANDRA	বঙ্কিমচন্দ্র
BANKSHARAJ	বংশরাজ
BANKURA	বাঁকুড়া
BANMOR	বনমোর
BANNER	বেনার
BANOJARI	বনওযারী
BANSDIH	বানসিদ্ধ
BANSHADHAR	বংশধর
BANSHAGOPAL	বংশগোপাল
BANSHI	বংশী
BANSHIBADAN	বংশীবদন
BANSHIDHAR	বংশীধর
BANSHILAL	বংশীলাল
BANSHIPADA	বংশীপদ
BANSI	বনসি
BANSIPUR	বনসিপুর
BANTAWALA	বনতয়ালা
BANTHRA	বনথরা
BANTI	বান্টি
BANTUL	বাঁটুল
BANU	বানু
BANUBEGAM	বানুবেগম
BANWALI	বনয়ালি
BANYAN	ব্যানিয়ান
BAORI	বাঔরি
BAOSTEEL	বায়োস্টীল
BAPANKUMAR	বাপনকুমার
BAPATLA	বাপাটলা
BAPIKUMAR	বাপীকুমার
BAPIN	বাপিন
BAPPA	বাপ্পা
BAPTIST	ব্যাপিস্ট
BAPTISTE	বাপ্টিস্ট
BARA	বারা
BARABANKI	বারবাঁকি
BARABHUM	বারাভূম
BARAD	বারাদ
BARADWAR	বারদয়ার
BARAGAON	বারগাঁও
BARAIGRAM	বারাইগ্রাম
BARAJAS	বারজাস
BARAKAR	বরাকর
BARAL	বরাল
BARAMATI	বারামতি
BARAMESHWAR	বরমেশ্বর
BARAMINYA	বড়মিঞা
BARAMUA	বারামুয়া
BARAMUNU	বড়মুনু
BARAN	বারন
BARANOF	বারানফ
BARAR	বারার
BARARA	বারার
BARATH	বারাথ
BARBAROSSA	বারবারোসা
BARCELONA	বার্সিলোনা
BARCHI	বারছি
BARCHON	বারচোন
BARCLAYS	বারক্লেস
BARDDHAMAN	বর্ধমান
BAREILLY	বারিইল্লি
BAREJADI	বারিজাদি
BAREN	বরেন
BARENDRA	বরেন্দ্র
BARENDRANATH	বরেন্দ্রনাথ
BARETA	বারেটা
BARFLEUR	বারফ্লেউর
BARGADI	বারগাদি
BARGARH	বারগড়
BARHAN	বারহান
BARHIYA	বারহিয়া
BARHNI	বারহনি
BARI	বারি
BARIDA	বারিদা
BARIDBARAN	বারিদবরণ
BARILA	বারিলা
BARIMANI	বারিমনি
BARIN	বারীন
BARJAHAN	বড়জাহান
BARJAN	বারজান
BARKA	বড়কা
BARKAKANA	বারকাকান
BARKAT	বরকত
BARKATALI	বরকতআলি
BARKATULLA	বরকতউল্লা
BARLAL	বড়লাল
BARLOW	বারলো
BARMA	বর্মা
BARMI	বরমি
BARMINI	বড়মিনি
BARN	বার্ন
BARNA	বর্না
BARNABALA	বর্ণবালা
BARNAGAR	বারনগর
BARNALA	বারনালা
BARNALI	বনার্লী
BARNAMALA	বর্ণমালা
BARNES	বার্নেস
BARNETT	বারনেট
BARNEY	বার্নি
BARNSTABLE	বার্নস্টেবল
BARNWELL	বার্নওয়েল
BAROG	বারোগ
BARPALI	বারপালি
BARPETA	বারপেটা
BARRACKPORE	ব্যারাকপুর
BARRANCAS	ব্রানকাস
BARRINGTON	বারিঙ্গটোন
BARROW	ব্যারো
BARRY	বেরি
BARSATHI	বারসাথী
BARSHA	বর্ষা
BARSHAN	বর্ষন
BARSHARANI	বর্ষারানী
BARSI	বরসি
BARSUAN	বারসুয়ান
BART	বার্ট
BARTAMAN	বর্তমান
BARTON	বার্টোন
BARUA	বরুয়া
BARUNDEB	বরুনদেব
BARUNI	বারুনী
BARUNKANTI	বরুনকান্তি
BARUNKUMAR	বরুণকুমার
BARWAHA	বারয়াহা
BARYA	বারয়া
BASABI	বাসবী
BASAI	বসাই
BASAK	বাসক
BASANA	বাসনা
BASANTALAL	বসন্তলাল
BASANTI	বাসন্তি
BASANTIBALA	বাসন্তীবালা
BASANTIDEBI	বাসন্তীদেবী
BASANTILATA	বাসন্তীলতা
BASAR	বসার
BASARATALI	বাসারতআলী
BASAVA	বসাভা
BASDEB	বাসদেব
BASEDA	বাসেদা
BASEDALI	বাসেদআলী
BASEL	বাসেল
BASENA	বাসেনা
BASETUN	বাসেতুন
BASHERA	বাশেরা
BASHISHTA	বশিষ্ট
BASI	বাসি
BASIR	বসীর
BASIRALI	বসিরআলি
BASIRAM	বাসীরাম
BASIRAN	বসিরান
BASIRUL	বাসিরুল
BASIRUN	বসিরুন
BASKA	বাসকা
BASKE	বাসকে
BASKETBALL	বাস্কেটবল
BASKIN	বাস্কিন
BASMANI	বাসমনি
BASMAT	বাসম্যাট
BASRA	বসরা
BASRUL	বসরুল
BASS	বাস
BASSASEACHI	বাসাসিয়াচি
BASSI	বাসী
BASTA	বসতা
BASTAMI	বাস্তামী
BASTAR	বাস্তার
BASTI	বাস্তি
BASUBALA	বাসুবালা
BASUDEB	বাসুদেব
BASUDEO	বাসুদেও
BASUDEV	বাসুদেভ
BASUKI	বাসুকী
BASULA	বসুলা
BASUMATI	বসুমতি
BASWA	বাসয়া
BATAKRISHNA	বটকৃষ্ণ
BATALA	বাতালা
BATASI	বাতাসি
BATESHWAR	বটেশ্বর
BATIJA	বতিযা
BATILA	বতিলা
BATRA	বাট্রা
BATTERY	ব্যাটারি
BATTICE	ব্যাটিসি
BATTLEFORD	ব্যাটেলফোর্ড
BATTY	বট্টি
BATULAN	বাতুলন
BATUQUE	বাতুকুই
BAUDDIN	বাউদ্দিন
BAUDIN	বাঊদিন
BAUGH	বাফ
BAUMGARTEN	বাউমগার্টেন
BAURIA	বাউরিয়া
BAURIDAS	বাউরীদাস
BAVLA	বাভলা
BAWA	বাওয়া
BAWAL	বায়াল
BAWANI	বায়ানি
BAWOO	বাও
BAXUR	বক্সার
BAYAN	বায়ান
BAYANA	বেয়ানা
BAYARD	বেয়ার্ড
BAYAZID	বায়াজিদ
BAYER	বায়ের
BAYERN	বেয়ার্ন
BAYFIELD	বেফিল্ড
BAYONNE	বেওন্নে
BAYTU	বেইটু
BAZID	বাজিদ
BEACON	বেকন
BEAR	বিয়ার
BEARD	বার্ড
BEARN	বার্ন
BEAS	বিয়াস
BEAUFORT	বিউফোর্ট
BEAVERTON	বেভার্টোন
BEAWAR	বিয়ার
BEBANJAN	দেবাঞ্জন
BEBHADABE	বিভাদেবী
BEBINA	বেবিনা
BECHABALA	বেচাবালা
BECHARANI	বেচারানী
BECHIRANI	বেচীরানী
BECHUBALA	বেচুবালা
BECHURAM	বেচুরাম
BECKER	বেকার
BECKHAM	বেকহাম
BECKS	বেকস
BEDADE	বেদাদে
BEDANI	বেদানী
BEDARUL	বেদারুল
BEDBATI	বেদবতী
BEDETTI	বেডিট্টি
BEDFORD	বেডফোর্ড
BEDI	বেদি
BEDNI	বেদনি
BEDREDDIN	বেড্রেদ্দিন
BEER	বিয়ার
BEETHOVEN	বেটোফেন
BEGAM	বেগম
BEGAMPET	বেগমপেট
BEGINNINGS	বিগিনিংস
BEGU	বেগু
BEGUSARAI	বেগুসরাই
BEHAR	বিহার
BEHARI	বেহারী
BEJUNCTIONAL	বিজংশনাল
BEKTASH	বকটেস
BEL	বেল
BELAJAN	বেলাজান
BELAMPALLI	বেলামপাল্লি
BELAN	বেলান
BELARANI	বেলারাণী
BELBATY	বেলবতী
BELEJAN	বেলেজান
BELESHUN	বেলেশুন
BELFAST	বেলফস্ট
BELGIUM	বেলজিয়াম
BELGRADE	বেলগ্রেড
BELIEVERS	বিলিভার্স
BELISARIO	বেলিসারিও
BELKESH	বেলকেশ
BELL	বেল
BELLEROPHON	বেলেরোফোন
BELLEVUE	বেলভিউ
BELLSOUTH	বেলসাউথ
BELMUNI	বেলমুনি
BELPATI	বেলপতি
BELPRE	বেল্পে
BELRAYAN	বেলরায়ান
BELSIRI	বেলসিরি
BELTRON	বেলট্রন
BELUBALA	বেলুবালা
BELUR	বেলুড়
BELVANDI	বেলভানদি
BELWALKAR	বেলওয়ালকার
